Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Datos personales CMS;Datos personales CC
WEB;Ethernet;2021-08-22 11:43:01.731;2021-08-22 11:43:08.060;1755;4574
WEB;Ethernet;2021-08-22 11:43:37.181;2021-08-22 11:43:44.078;1903;4994
WEB;Ethernet;2021-08-22 11:44:28.050;2021-08-22 11:44:34.252;1805;4397
WEB;Ethernet;2021-08-22 11:45:01.550;2021-08-22 11:45:07.428;1721;4157
WEB;Ethernet;2021-08-22 11:45:34.967;2021-08-22 11:45:41.540;1967;4606
WEB;Ethernet;2021-08-22 11:46:08.769;2021-08-22 11:46:14.915;1879;4267
WEB;Ethernet;2021-08-22 11:46:42.457;2021-08-22 11:46:52.871;2007;8407
WEB;Ethernet;2021-08-22 11:47:20.580;2021-08-22 11:47:27.199;2013;4606
WEB;Ethernet;2021-08-22 11:47:54.896;2021-08-22 11:48:01.597;1978;4723
WEB;Ethernet;2021-08-22 11:48:28.951;2021-08-22 11:48:35.584;1823;4810
WEB;Ethernet;2021-08-22 11:49:03.186;2021-08-22 11:49:09.248;1959;4103
WEB;Ethernet;2021-08-22 11:49:36.654;2021-08-22 11:49:43.067;2040;4373
WEB;Ethernet;2021-08-22 11:50:10.815;2021-08-22 11:50:17.540;2058;4667
WEB;Ethernet;2021-08-22 11:50:45.130;2021-08-22 11:50:51.504;1872;4502
WEB;Ethernet;2021-08-22 11:51:19.183;2021-08-22 11:51:25.364;1910;4271
WEB;Ethernet;2021-08-22 11:51:52.741;2021-08-22 11:52:03.314;1782;8791
WEB;Ethernet;2021-08-22 11:52:30.951;2021-08-22 11:52:37.326;1861;4514
WEB;Ethernet;2021-08-22 11:53:04.231;2021-08-22 11:53:10.740;2222;4287
WEB;Ethernet;2021-08-22 11:53:36.437;2021-08-22 11:53:42.852;1765;4650
WEB;Ethernet;2021-08-22 11:54:08.480;2021-08-22 11:54:14.879;1844;4555
WEB;Ethernet;2021-08-22 11:54:39.500;2021-08-22 11:54:46.211;1928;4783
WEB;Ethernet;2021-08-22 11:55:11.381;2021-08-22 11:55:17.465;1827;4257
WEB;Ethernet;2021-08-22 11:55:42.212;2021-08-22 11:55:48.789;2037;4539
WEB;Ethernet;2021-08-22 11:56:14.023;2021-08-22 11:56:20.261;1872;4366
WEB;Ethernet;2021-08-22 11:56:45.100;2021-08-22 11:56:51.781;1827;4854
WEB;Ethernet;2021-08-22 11:57:16.872;2021-08-22 11:57:27.931;1710;9349
WEB;Ethernet;2021-08-22 11:57:52.785;2021-08-22 11:57:59.220;1851;4584
WEB;Ethernet;2021-08-22 11:58:24.872;2021-08-22 11:58:30.837;1747;4218
WEB;Ethernet;2021-08-22 11:58:56.405;2021-08-22 11:59:02.850;1809;4636
WEB;Ethernet;2021-08-22 11:59:28.117;2021-08-22 11:59:34.208;1773;4318
WEB;Ethernet;2021-08-22 11:59:59.367;2021-08-22 12:00:06.668;2305;4996
WEB;Ethernet;2021-08-22 12:00:33.201;2021-08-22 12:00:39.415;1607;4607
WEB;Ethernet;2021-08-22 12:01:05.068;2021-08-22 12:01:12.570;2543;4959
WEB;Ethernet;2021-08-22 12:01:37.877;2021-08-22 12:01:44.324;1863;4584
WEB;Ethernet;2021-08-22 12:02:09.988;2021-08-22 12:02:16.224;1605;4631
WEB;Ethernet;2021-08-22 12:02:41.702;2021-08-22 12:02:51.324;2766;6856
WEB;Ethernet;2021-08-22 12:03:17.878;2021-08-22 12:03:25.363;2371;5114
WEB;Ethernet;2021-08-22 12:03:50.222;2021-08-22 12:03:58.721;1618;6881
WEB;Ethernet;2021-08-22 12:04:24.458;2021-08-22 12:04:30.677;1656;4563
WEB;Ethernet;2021-08-22 12:04:55.965;2021-08-22 12:05:03.269;1875;5429
WEB;Ethernet;2021-08-22 12:05:28.681;2021-08-22 12:05:36.856;2388;5787
WEB;Ethernet;2021-08-22 12:06:05.128;2021-08-22 12:06:12.060;2081;4851
WEB;Ethernet;2021-08-22 12:06:37.787;2021-08-22 12:06:43.823;1796;4240
WEB;Ethernet;2021-08-22 12:07:09.014;2021-08-22 12:07:17.489;1971;6504
WEB;Ethernet;2021-08-22 12:07:43.612;2021-08-22 12:07:54.572;1756;9204
WEB;Ethernet;2021-08-22 12:08:21.081;2021-08-22 12:08:27.441;1657;4703
WEB;Ethernet;2021-08-22 12:08:52.507;2021-08-22 12:08:59.205;2060;4638
