Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Facturas;Histograma;En tu banco
WEB;WiFi;2021-08-18 22:19:36.433;2021-08-18 22:19:40.621;2306;4188;733
WEB;WiFi;2021-08-18 22:20:16.734;2021-08-18 22:20:20.991;2162;4257;689
WEB;WiFi;2021-08-18 22:20:58.243;2021-08-18 22:21:02.230;2380;3987;734
WEB;WiFi;2021-08-18 22:21:34.971;2021-08-18 22:21:39.508;2287;4537;103
WEB;WiFi;2021-08-18 22:22:11.636;2021-08-18 22:22:14.953;2337;3317;635
WEB;WiFi;2021-08-18 22:22:47.751;2021-08-18 22:22:51.647;2163;3896;926
WEB;WiFi;2021-08-18 22:23:27.117;2021-08-18 22:23:32.286;2062;5169;93
WEB;WiFi;2021-08-18 22:24:04.107;2021-08-18 22:24:10.415;2159;6308;116
WEB;WiFi;2021-08-18 22:24:42.114;2021-08-18 22:24:46.612;1528;4498;640
WEB;WiFi;2021-08-18 22:25:19.185;2021-08-18 22:25:25.244;2219;6059;91
WEB;WiFi;2021-08-18 22:26:00.105;2021-08-18 22:26:04.450;2196;4345;858
WEB;WiFi;2021-08-18 22:26:38.834;2021-08-18 22:26:42.816;2077;3982;812
WEB;WiFi;2021-08-18 22:27:15.980;2021-08-18 22:27:19.342;3285;3362;694
WEB;WiFi;2021-08-18 22:27:52.410;2021-08-18 22:27:59.249;2233;6839;348
WEB;WiFi;2021-08-18 22:28:37.574;2021-08-18 22:28:40.899;2104;3325;92
WEB;WiFi;2021-08-18 22:29:14.618;2021-08-18 22:29:17.999;1697;3381;598
WEB;WiFi;2021-08-18 22:29:51.424;2021-08-18 22:29:54.605;2181;3181;93
WEB;WiFi;2021-08-18 22:30:29.888;2021-08-18 22:30:33.059;2071;3171;89
WEB;WiFi;2021-08-18 22:31:08.046;2021-08-18 22:31:13.000;1283;4954;552
WEB;WiFi;2021-08-18 22:31:46.576;2021-08-18 22:31:50.810;1965;4234;676
WEB;WiFi;2021-08-18 22:32:23.941;2021-08-18 22:32:28.417;1317;4476;638
WEB;WiFi;2021-08-18 22:33:03.405;2021-08-18 22:33:07.075;3520;3670;842
WEB;WiFi;2021-08-18 22:33:40.877;2021-08-18 22:33:44.452;2172;3575;509
WEB;WiFi;2021-08-18 22:34:17.505;2021-08-18 22:34:20.770;2138;3265;628
