Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados

WEB;WiFi;2021-08-19 02:45:27.986;2021-08-19 02:45:30.538;3179;141;2552
WEB;WiFi;2021-08-19 02:46:31.784;2021-08-19 02:46:34.956;887;362;3172
WEB;WiFi;2021-08-19 02:47:27.717;2021-08-19 02:47:31.184;1310;84;3467
WEB;WiFi;2021-08-19 02:48:25.225;2021-08-19 02:48:29.618;1882;322;4393
WEB;WiFi;2021-08-19 02:49:15.102;2021-08-19 02:49:17.740;1317;123;2638
WEB;WiFi;2021-08-19 02:50:06.637;2021-08-19 02:50:09.332;2000;113;2695
WEB;WiFi;2021-08-19 02:50:57.243;2021-08-19 02:50:59.536;917;424;2293
WEB;WiFi;2021-08-19 02:51:45.909;2021-08-19 02:51:48.553;725;92;2644
WEB;WiFi;2021-08-19 02:52:36.685;2021-08-19 02:52:39.667;745;121;2982
WEB;WiFi;2021-08-19 02:53:50.385;2021-08-19 02:53:54.083;2540;89;3698
WEB;WiFi;2021-08-19 02:54:44.798;2021-08-19 02:54:47.005;1940;76;2207
WEB;WiFi;2021-08-19 02:55:32.466;2021-08-19 02:55:34.348;2057;65;1882
WEB;WiFi;2021-08-19 02:56:16.087;2021-08-19 02:56:18.135;1348;109;2048
WEB;WiFi;2021-08-19 02:56:56.322;2021-08-19 02:56:58.510;531;82;2188
WEB;WiFi;2021-08-19 02:57:36.190;2021-08-19 02:57:38.060;1636;68;1870
WEB;WiFi;2021-08-19 02:58:18.973;2021-08-19 02:58:21.001;614;102;2028
WEB;WiFi;2021-08-19 02:59:01.350;2021-08-19 02:59:03.537;1664;109;2187
WEB;WiFi;2021-08-19 02:59:42.797;2021-08-19 02:59:44.976;1537;96;2179
WEB;WiFi;2021-08-19 03:00:23.480;2021-08-19 03:00:25.419;677;89;1939
WEB;WiFi;2021-08-19 03:01:03.505;2021-08-19 03:01:05.690;375;68;2185
WEB;WiFi;2021-08-19 03:01:48.454;2021-08-19 03:01:50.461;1756;91;2007
WEB;WiFi;2021-08-19 03:02:28.903;2021-08-19 03:02:30.813;597;105;1910
WEB;WiFi;2021-08-19 03:03:10.440;2021-08-19 03:03:12.806;1792;60;2366
WEB;WiFi;2021-08-19 03:03:50.677;2021-08-19 03:03:53.004;637;76;2327
WEB;WiFi;2021-08-19 03:04:31.490;2021-08-19 03:04:33.460;729;96;1970
WEB;WiFi;2021-08-19 03:05:12.751;2021-08-19 03:05:15.347;1574;94;2596
WEB;WiFi;2021-08-19 03:05:56.471;2021-08-19 03:06:00.314;1939;77;3843
WEB;WiFi;2021-08-19 03:06:39.286;2021-08-19 03:06:41.719;508;143;2433
