Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados;Servicios contratados;Servicios contratados
WEB;Ethernet;2021-08-20 22:04:11.918;2021-08-20 22:04:19.237;1456;214;7319;Tiempo final empleado: 6828ms;6828
WEB;Ethernet;2021-08-21 00:39:12.559;2021-08-21 00:39:18.873;1521;274;6314;Tiempo final empleado: 6085ms;6085
WEB;Ethernet;2021-08-21 00:23:14.541;2021-08-21 00:23:21.345;1308;176;6804;Tiempo final empleado: 6075ms;6075
WEB;Ethernet;2021-08-20 21:23:31.146;2021-08-20 21:23:37.428;1380;48;6282;Tiempo final empleado: 6060ms;6060
WEB;Ethernet;2021-08-20 22:36:26.105;2021-08-20 22:36:32.731;1543;164;6626;Tiempo final empleado: 5845ms;5845
WEB;Ethernet;2021-08-20 21:45:34.552;2021-08-20 21:45:39.948;2145;111;5396;Tiempo final empleado: 5651ms;5651
WEB;Ethernet;2021-08-20 21:38:23.500;2021-08-20 21:38:29.301;1362;72;5801;Tiempo final empleado: 5381ms;5381
WEB;Ethernet;2021-08-20 23:50:59.855;2021-08-20 23:51:06.050;1353;152;6195;Tiempo final empleado: 5321ms;5321
WEB;Ethernet;2021-08-20 23:37:14.718;2021-08-20 23:37:20.592;1379;155;5874;Tiempo final empleado: 5168ms;5168
WEB;Ethernet;2021-08-21 00:12:18.393;2021-08-21 00:12:24.451;1260;148;6058;Tiempo final empleado: 5133ms;5133
WEB;Ethernet;2021-08-20 23:40:29.105;2021-08-20 23:40:35.172;1332;148;6067;Tiempo final empleado: 5077ms;5077
WEB;Ethernet;2021-08-21 01:17:01.363;2021-08-21 01:17:06.924;1350;591;5561;Tiempo final empleado: 5072ms;5072
WEB;Ethernet;2021-08-21 00:06:44.286;2021-08-21 00:06:49.903;1471;345;5617;Tiempo final empleado: 5049ms;5049
WEB;Ethernet;2021-08-20 23:16:58.945;2021-08-20 23:17:04.681;1340;147;5736;Tiempo final empleado: 4908ms;4908
WEB;Ethernet;2021-08-20 22:35:39.020;2021-08-20 22:35:44.080;1387;420;5060;Tiempo final empleado: 4822ms;4822
WEB;Ethernet;2021-08-20 22:12:26.799;2021-08-20 22:12:30.875;1844;480;4075;Tiempo final empleado: 4536ms;4536
WEB;Ethernet;2021-08-20 21:30:42.197;2021-08-20 21:30:46.345;1318;40;4148;Tiempo final empleado: 3721ms;3721
WEB;Ethernet;2021-08-21 01:13:00.096;2021-08-21 01:13:04.295;1450;403;4199;Tiempo final empleado: 3697ms;3697
WEB;Ethernet;2021-08-21 00:04:21.919;2021-08-21 00:04:25.992;2372;147;4073;Tiempo final empleado: 3288ms;3288
WEB;Ethernet;2021-08-21 00:43:12.632;2021-08-21 00:43:16.213;1230;431;3581;Tiempo final empleado: 3221ms;3221
WEB;Ethernet;2021-08-21 01:10:37.851;2021-08-21 01:10:41.673;1428;219;3822;Tiempo final empleado: 3186ms;3186
WEB;Ethernet;2021-08-21 01:14:36.688;2021-08-21 01:14:40.638;1345;182;3950;Tiempo final empleado: 3149ms;3149
WEB;Ethernet;2021-08-20 22:41:53.615;2021-08-20 22:41:58.287;1660;436;4672;Tiempo final empleado: 3095ms;3095
WEB;Ethernet;2021-08-20 21:48:28.873;2021-08-20 21:48:32.643;1472;80;3770;Tiempo final empleado: 3061ms;3061
WEB;Ethernet;2021-08-20 21:30:03.389;2021-08-20 21:30:06.751;1429;38;3362;Tiempo final empleado: 3057ms;3057
WEB;Ethernet;2021-08-20 23:09:02.441;2021-08-20 23:09:06.038;1886;251;3597;Tiempo final empleado: 2947ms;2947
WEB;Ethernet;2021-08-20 23:47:01.508;2021-08-20 23:47:04.658;1974;602;3150;Tiempo final empleado: 2946ms;2946
WEB;Ethernet;2021-08-20 21:39:09.455;2021-08-20 21:39:12.857;1402;83;3402;Tiempo final empleado: 2935ms;2935
WEB;Ethernet;2021-08-20 21:54:34.232;2021-08-20 21:54:37.978;1930;65;3746;Tiempo final empleado: 2885ms;2885
WEB;Ethernet;2021-08-20 23:39:42.013;2021-08-20 23:39:44.436;3041;698;2423;Tiempo final empleado: 2885ms;2885
WEB;Ethernet;2021-08-20 23:28:37.792;2021-08-20 23:28:41.721;1307;164;3929;Tiempo final empleado: 2852ms;2852
WEB;Ethernet;2021-08-20 21:29:22.964;2021-08-20 21:29:26.265;1114;55;3301;Tiempo final empleado: 2833ms;2833
WEB;Ethernet;2021-08-20 23:17:48.286;2021-08-20 23:17:51.846;1383;344;3560;Tiempo final empleado: 2818ms;2818
WEB;Ethernet;2021-08-20 23:15:19.750;2021-08-20 23:15:23.483;1364;316;3733;Tiempo final empleado: 2814ms;2814
WEB;Ethernet;2021-08-20 22:16:10.844;2021-08-20 22:16:14.386;1343;247;3542;Tiempo final empleado: 2793ms;2793
WEB;Ethernet;2021-08-20 23:27:50.802;2021-08-20 23:27:54.357;1315;199;3555;Tiempo final empleado: 2791ms;2791
WEB;Ethernet;2021-08-21 00:58:52.425;2021-08-21 00:58:56.166;1314;143;3741;Tiempo final empleado: 2781ms;2781
WEB;Ethernet;2021-08-20 22:31:08.798;2021-08-20 22:31:11.127;2355;257;2329;Tiempo final empleado: 2776ms;2776
WEB;Ethernet;2021-08-21 00:55:44.164;2021-08-21 00:55:47.568;1004;147;3404;Tiempo final empleado: 2733ms;2733
WEB;Ethernet;2021-08-20 23:58:03.825;2021-08-20 23:58:07.157;1140;411;3332;Tiempo final empleado: 2718ms;2718
WEB;Ethernet;2021-08-21 00:33:41.594;2021-08-21 00:33:44.850;1353;347;3256;Tiempo final empleado: 2717ms;2717
WEB;Ethernet;2021-08-20 23:20:54.423;2021-08-20 23:20:57.886;1438;184;3463;Tiempo final empleado: 2714ms;2714
WEB;Ethernet;2021-08-20 23:30:58.125;2021-08-20 23:31:01.147;1254;433;3022;Tiempo final empleado: 2705ms;2705
WEB;Ethernet;2021-08-21 00:21:40.443;2021-08-21 00:21:44.065;1519;138;3622;Tiempo final empleado: 2704ms;2704
WEB;Ethernet;2021-08-21 00:19:20.273;2021-08-21 00:19:23.875;1156;171;3602;Tiempo final empleado: 2699ms;2699
WEB;Ethernet;2021-08-20 23:02:47.484;2021-08-20 23:02:51.112;1045;140;3628;Tiempo final empleado: 2678ms;2678
WEB;Ethernet;2021-08-21 00:26:36.570;2021-08-21 00:26:40.046;1262;165;3476;Tiempo final empleado: 2661ms;2661
WEB;Ethernet;2021-08-20 21:49:15.852;2021-08-20 21:49:19.006;1477;102;3154;Tiempo final empleado: 2660ms;2660
WEB;Ethernet;2021-08-20 22:22:53.915;2021-08-20 22:22:56.154;1928;216;2239;Tiempo final empleado: 2646ms;2646
WEB;Ethernet;2021-08-20 22:26:36.041;2021-08-20 22:26:39.876;1988;264;3835;Tiempo final empleado: 2638ms;2638
WEB;Ethernet;2021-08-20 22:57:22.440;2021-08-20 22:57:25.759;1533;250;3319;Tiempo final empleado: 2638ms;2638
WEB;Ethernet;2021-08-21 01:06:41.487;2021-08-21 01:06:44.899;1408;228;3412;Tiempo final empleado: 2637ms;2637
WEB;Ethernet;2021-08-21 00:51:49.561;2021-08-21 00:51:52.776;1240;403;3215;Tiempo final empleado: 2631ms;2631
WEB;Ethernet;2021-08-20 22:05:44.454;2021-08-20 22:05:47.607;1279;240;3153;Tiempo final empleado: 2612ms;2612
WEB;Ethernet;2021-08-20 21:36:54.411;2021-08-20 21:36:57.180;1959;320;2769;Tiempo final empleado: 2610ms;2610
WEB;Ethernet;2021-08-21 00:27:24.224;2021-08-21 00:27:27.608;1425;147;3384;Tiempo final empleado: 2604ms;2604
WEB;Ethernet;2021-08-20 22:06:30.021;2021-08-20 22:06:33.037;1402;234;3016;Tiempo final empleado: 2602ms;2602
